id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0002,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0003,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0004,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0005,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0006,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0007,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0008,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0009,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0010,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0011,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0012,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0013,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0014,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0015,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0016,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0017,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0018,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0019,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0020,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0021,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0022,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0023,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0024,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0025,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0026,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0027,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0028,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0029,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0030,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0031,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0032,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0033,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0034,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0035,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0036,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0037,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0038,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0039,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0040,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0041,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0042,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0043,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0044,2016-11-08,2016 General Election,federal,st08,true,,,,09:00 AM - 02:00 PM,false,2016-10-31,2016-11-01,
e0045,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0046,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0047,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0048,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0049,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0050,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0051,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
e0052,2016-11-08,2016 General Election,federal,st08,true,,,,08:00 AM - 05:00 PM,false,2016-10-31,2016-11-01,
