id,date,name,election_type,state_id,is_statewide,registration_info,absentee_ballot_info,results_uri,polling_hours,has_election_day_registration,registration_deadline,absentee_request_deadline,hours_open_id
e0001,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0002,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0003,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0004,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0005,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0006,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0007,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0008,11/8/2016,2016 General Election,federal,st56,true,,,,09:00 AM - 05:00 PM,no,2016-10-24,,
e0009,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0010,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0011,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0012,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0013,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0014,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0015,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0016,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0017,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0018,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0019,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0020,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0021,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0022,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0023,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0024,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0025,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0026,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0027,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0028,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0029,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0030,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0031,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0032,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0033,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0034,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0035,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0036,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0037,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0038,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0039,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0040,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0041,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0042,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0043,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0044,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0045,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0046,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0047,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0048,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0049,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0050,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0051,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0052,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0053,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0054,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0055,11/8/2016,2016 General Election,federal,st56,true,,,,08:00 AM - 05:00 PM,no,2016-10-24,,
e0056,11/8/2016,2016 General Election,federal,st56,true,,,,07:30 AM - 04:00 PM,no,2016-10-24,,
e0057,11/8/2016,2016 General Election,federal,st56,true,,,,07:30 AM - 04:00 PM,no,2016-10-24,,
e0058,11/8/2016,2016 General Election,federal,st56,true,,,,07:30 AM - 04:00 PM,no,2016-10-24,,
e0059,11/8/2016,2016 General Election,federal,st56,true,,,,07:30 AM - 04:00 PM,no,2016-10-24,,
