address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"602 Adams Ave, Hettinger, ND 58639",,08:00 AM - 12:00 PM,,ho12695324,false,true,,,,poll69818709
"230 4th St NW, Valley City, ND 58072",Room 202,08:00 AM - 05:00 PM,,ho70781562,false,true,,,,poll61259136
"311 B Ave South, Minnewaukan, ND 58351",,08:30 AM - 04:30 PM,,ho34083744,false,true,,,,poll30013910
"495 4th Street, Medora, ND 58645",,08:00 AM - 04:00 PM,,ho34812063,false,true,,,,poll87872752
"314 5th St W, Ste 10, Bottineau, ND 58318",,08:30 AM - 05:00 PM,,ho20217394,false,true,,,,poll31852070
"104 1st St NW, Ste 1, Bowman, ND 58623",,07:30 AM - 12:00 PM,,ho37900002,false,true,,,,poll85215637
"103 Main St SW, Bowbells, ND 58721",,08:30 AM - 12:00 PM,,ho24867410,false,true,,,,poll21038059
"221 N 5th St, Bismarck, ND 58501", Auditor/Treasurer's Office ,08:00 AM - 05:00 PM,,ho36120506,false,true,,,,poll90443080
"211 9th Street South, Fargo, ND 58103",,08:00 AM - 05:00 PM,,ho21460601,false,true,,,,poll43143137
"Baymont Inn and Suites, 3333 13th Ave S, Fargo, ND 58103",,10:00 AM - 07:00 PM,,ho92281461,false,true,,,,poll93693412
"Cambria Suites - West Fargo, 825 E Beaton Dr, West Fargo, ND 58078",,10:00 AM - 07:00 PM,,ho69442571,false,true,,,,poll66656962
"FargoDome, 1800 N University Dr, Fargo, ND 58102",,10:00 AM - 07:00 PM,,ho56316100,false,true,,,,poll55236708
"Days Inn Casselton/Fargo, 2050 Governor's Dr, Casselton, ND 58012",,10:00 AM - 07:00 PM,,ho83285505,false,true,,,,poll89286761
"901 3rd St, Ste 15, Langdon, ND 58249",,08:30 AM - 04:00 PM,,ho55522773,false,true,,,,poll92110353
"309 N. 2nd Street, Ellendale, ND 58436",,08:00 AM - 12:00 PM,,ho74925139,false,true,,,,poll1365169
"200 N Main St, Crosby, ND 58730",,08:30 AM - 12:00 PM,,ho64441298,false,true,,,,poll98229645
"205 Owens Street, Manning, ND 58642",,08:00 AM - 04:30 PM,,ho9522040,false,true,,,,poll63899916
"524 Central Ave, Ste 201, New Rockford, ND 58356",,08:00 AM - 12:00 PM,,ho68383467,false,true,,,,poll7836867
"100 4th St NW, Linton, ND 58552",,08:30 AM - 12:00 PM,,ho8757454,false,true,,,,poll76991746
"1000 5th St N, Carrington, ND 58421",,08:30 AM - 12:00 PM,,ho75193873,false,true,,,,poll24794016
"150 1st Ave SE, Beach, ND 58621",,08:00 AM - 04:00 PM,,ho9346832,false,true,,,,poll4029206
"151 S 4th St, Grand Forks, ND 58201",,08:00 AM - 05:00 PM,,ho99627553,false,true,,,,poll63324572
"Alerus Center, 1200 S 42nd St, Grand Forks, ND 58201",,10:00 AM - 06:00 PM,,ho64087632,false,true,,,,poll54795952
